LOCATION,LOCATION2,PKEY,PKEY0,FRAMENUM,FRAMENUM0,SXFRAME,BARCODE,QUANTITY,MANUFACT,MODEL,FCOLOUR,SIZE,FRDESC,LOCATION3,STKTAKE,CHANGE,QTYAPPRO,QTY3,SUPBARCODE,ISTOCKCODE,SUPPLIER,SUPPLIER2,FRAMETYPE,FRAMEGROUP,TEMPLE,DEPTH,DIAG,BASECURVE,SUNGRX,FROTHER,FROTHER2,REORDDATE,REORDER,REORDQTY,RRP,EXLISTPR,LISTPRICE,EXCOSTPR,COSTPRICE,EXPREVCOST,PREVCOST,EXAVGCOST,AVGCOST,DPRECOST,DPREEXCOST,WSALEET,WSALEIT,APPORDER,LASTSALE2,LASTSALE,FIRSTPUR,LASTPUR,RETURNBY,DQTY,REFRESH,LASTINV,DISPC,TAXPC,FRSTATUS,FRSTATUS2,QTYONORDER,QTYONAPPRO,PHOTOEXT,PHOTONAME,LIFESTYLE,LIFECYCLE,RELEASE,AVAILFROM,AVAILTILL,FRANGE,SPH1,SPH2,CYL1,CYL2,MINPD,BASEC,SRVCHARGE,EXLISTSRV,LISTSRV,EXRRPSRV,RRPSRV,MODKEY,ORDERAGAIN,PROSUPPLY,PSSUPFIT,PSCREATED,PSUPDATEAT,USER,MODIFIED,DELFLAG,XFER,PROVISION,PVINACTIVE,LOGSTR,FGID,SUPSTATUS,LLABORDER,LDOWNLOAD,UUID,NOTE,PHOTO
OPT,,128151,,APO000254,,,06971,1,MEMOFLEX,933,020,43-16,,, , ,0,0,,,APO,,BM,F,120,28,43,, ,, ,/  /,0,0,250,110,121,110,121,82.5,90.75,110,121,0,0,0,0,0,/  /,/  /,42075,42075,/  /,0, ,204589,0,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,/  /       :  :, ,/  /       :  :, , ,,,,F,F,,,
OPT,,104689,,APO000133,,,05191,1,Memoflex,Easytwist 855-160,C10,51-18,,, , ,0,0,,,APO,,BM,F,125,25,51,, ,, ,/  /,0,0,200,100,110,119.96,131.96,119.96,131.96,119.96,131.96,0,0,0,0,0,/  /,/  /,40828,41599,/  /,0, ,,-19.96,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,/  /       :  :, ,/  /       :  :, , ,,,,F,F,,,
OPT,FR,94888,,APO000070,,,04661,1,Memoflex,Easytwist 866-160,10,41-18,,, , ,0,0,0686245090763,,APO,,GM,F,125,25,40,, ,, ,/  /,1,1,200,159.95,175.95,159.95,175.95,159.95,175.95,159.95,175.95,0,0,0,0,0,/  /,/  /,40338,41599,/  /,0, ,,0,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,/  /       :  :, ,/  /       :  :, , ,,,,F,F,,,
OPT,,124439,,MON000259,,,06741,1,MORRISEY,NEVERMIND,1002718,54-17,,, , ,0,0,,,ORO,,MS,F,140,33,54,, ,, ,/  /,0,0,250,58.64,64.5,46.91,51.6,46.91,51.6,46.91,51.6,0,0,0,0,0,42061,42270,41905,44123,/  /,0, ,1232088,20,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,42270.65677, ,/  /       :  :, , ,,,,F,F,,,
OPT,,195651,,AVI000112,,,10367,1,Nano,ARCADE 3.0,3010248,48-15,,, , ,0,0,,,AVI,,BS,F,133,33,49,, ,, ,/  /,0,0,179,65,71.5,45.5,50.05,65,71.5,45.5,50.05,0,0,0,0,0,/  /,/  /,45301,45301,/  /,0, ,422627,30,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,/  /       :  :, ,/  /       :  :, , ,,,,F,F,,,
OPT,,186312,,AVI000071,,,09992,1,Nano,ARCADE 3.0,3010350,50-15,,, , ,0,0,,,AVI,,BS,F,133,33,51,, ,, ,/  /,0,0,169,60,66,60,66,60,66,60,66,0,0,0,0,0,/  /,/  /,44908,44908,/  /,0, ,9811,0,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,/  /       :  :, ,/  /       :  :, , ,,,,F,F,,,
OPT,,198212,,AVI000128,,,10682,1,NANO,ARCADE CF,730246,46-17,,, , ,0,0,,,AVI,,GS,F,134,33,49,, ,, ,/  /,0,0,169,69,75.9,58.65,64.52,58.65,64.52,58.65,64.52,0,0,0,0,0,/  /,/  /,45757,45757,/  /,0, ,14684,14.99,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,/  /       :  :, ,/  /       :  :, , ,,,,F,F,,,
OPT,,195653,,AVI000114,,,10369,1,NANO,ARCADE CF,730346,46-17,,, , ,0,0,,,AVI,,GS,F,134,33,49,, ,, ,/  /,0,0,189,65,71.5,45.5,50.05,45.5,50.05,45.5,50.05,0,0,0,0,0,/  /,/  /,45301,45301,/  /,0, ,422627,30,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,/  /       :  :, ,/  /       :  :, , ,,,,F,F,,,
OPT,,195650,,AVI000111,,,10366,1,Nano,ARCADE SLEEK,3111150,50-15,,, , ,0,0,,,AVI,,BS,F,133,33,52,, ,, ,/  /,0,0,179,65,71.5,45.5,50.05,45.5,50.05,45.5,50.05,0,0,0,0,0,/  /,/  /,45301,45301,/  /,0, ,422627,30,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,/  /       :  :, ,/  /       :  :, , ,,,,F,F,,,
OPT,,175059,,AVI000048,,,09580,1,NANO,BIRDIE,Violet,36-14,,, , ,0,0,,,AVI,,GS,F,105,29,36,, ,, ,/  /,0,0,169,60,66,60,66,60,66,60,66,0,0,0,0,0,/  /,/  /,44511,44511,/  /,0, ,377176,0,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,/  /       :  :, ,/  /       :  :, , ,,,,F,F,,,
