BARCODE,LOCATION,LOCATION2,PKEY,PKEY0,FRAMENUM,FRAMENUM0,SXFRAME,QUANTITY,MANUFACT,MODEL,FCOLOUR,SIZE,FRDESC,LOCATION3,STKTAKE,CHANGE,QTYAPPRO,QTY3,SUPBARCODE,ISTOCKCODE,SUPPLIER,SUPPLIER2,FRAMETYPE,FRAMEGROUP,TEMPLE,DEPTH,DIAG,BASECURVE,SUNGRX,FROTHER,FROTHER2,REORDDATE,REORDER,REORDQTY,RRP,EXLISTPR,LISTPRICE,EXCOSTPR,COSTPRICE,EXPREVCOST,PREVCOST,EXAVGCOST,AVGCOST,DPRECOST,DPREEXCOST,WSALEET,WSALEIT,APPORDER,LASTSALE2,LASTSALE,FIRSTPUR,LASTPUR,RETURNBY,DQTY,REFRESH,LASTINV,DISPC,TAXPC,FRSTATUS,FRSTATUS2,QTYONORDER,QTYONAPPRO,PHOTOEXT,PHOTONAME,LIFESTYLE,LIFECYCLE,RELEASE,AVAILFROM,AVAILTILL,FRANGE,SPH1,SPH2,CYL1,CYL2,MINPD,BASEC,SRVCHARGE,EXLISTSRV,LISTSRV,EXRRPSRV,RRPSRV,MODKEY,ORDERAGAIN,PROSUPPLY,PSSUPFIT,PSCREATED,PSUPDATEAT,USER,MODIFIED,DELFLAG,XFER,PROVISION,PVINACTIVE,LOGSTR,FGID,SUPSTATUS,LLABORDER,LDOWNLOAD,UUID,NOTE,PHOTO
4058,OPT,,78575,,ESS000081,,,1,Apollo,9846,C1,54-17,,,,,,,,,,,,,140,37,52,,,,,,,,80,,,15.1,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10239,OPT,,78576,,ESS000141,,,2,2.5 NVG,OGH 318,0202,60-20,,,,,,,,,,,,,145,50,65,,,,,,,,80,,,11.85,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6588,OPT,,78577,,ESS000121,,,3,Apollo,9963,C2,56-18,,,,,,,,,,,,,145,38,58,,,,,,,,80,,,13,,,,,,,,,,,,,,,,,,,,10,CO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3979,OPT,,78578,,ESS000076,,,1,Apollo,9827,C1,58-20,,,,,,,,,,,,,145,46,61,,,,,,,,80,,,0,,,,,,,,,,,,,,,,,,,,10,CO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8630,OPT,,78579,,ESS000133,,,1,Apollo,9959,C2,52-17,,,,,,,,,,,,,135,33,56,,,,,,,,80,,,15.6,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4059,OPT,,78580,,ESS000082,,,3,Apollo,9876,C3,50-18,,,,,,,,,,,,,135,28,48,,,,,,,,80,,,32.89,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5831,OPT,,78581,,ESS000102,,,1,Apollo,6655,Brown,50-22,,,,,,,,,,,,,140,27,50,,,,,,,,80,,,11.85,,,,,,,,,,,,,,,,,,,,10,CO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7052,OPT,,78582,,ESS000125,,,2,Apollo,6686,Y335,48-22,,,,,,,,,,,,,135,28,49,,,,,,,,80,,,13.8,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5830,OPT,,78583,,ESS000101,,,1,Apollo,6655,Crystal,50-22,,,,,,,,,,,,,140,27,50,,,,,,,,80,,,26.29,,,,,,,,,,,,,,,,,,,,10,CO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5081,OPT,,78584,,ESB000001,,,1,Apollo,9927,C1,51-16,,,,,,,,,,,,,140,30,52,,,,,,,,80,,,15,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4060,OPT,,78585,,ESS000083,,,2,Apollo,9875,C3,51-17,,,,,,,,,,,,,135,36,49,,,,,,,,80,,,15.1,,,,,,,,,,,,,,,,,,,,10,CO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6347,OPT,,78586,,ESS000115,,,3,Apollo,9875,C2,51-17,,,,,,,,,,,,,135,36,51,,,,,,,,80,,,13.98,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4063,OPT,,78587,,ESS000086,,,2,Apollo,9876,C2,50-18,,,,,,,,,,,,,135,28,49,,,,,,,,80,,,13,,,,,,,,,,,,,,,,,,,,10,CO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5440,OPT,,78588,,ESB000005,,,2,Apollo,6605,C4602,54-18,,,,,,,,,,,,,145,44,58,,,,,,,,80,,,14.08,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120,OPT,,78589,,000000037,,,-8,Apollo,9924,C2,56-17,,,,,,,,,,,,,140,36,58,,,,,,,,80,,,17.11,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4464,OPT,,78590,,ESS000089,,,1,Apollo,6604,4254,52-18,,,,,,,,,,,,,135,44,56,,,,,,,,80,,,26.29,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5441,OPT,,78591,,ESB000006,,,1,Apollo,6605,C4254,52-18,,,,,,,,,,,,,145,48,58,,,,,,,,80,,,14.08,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6810,OPT,,78592,,ESS000122,,,2,Apollo,6710,Blk,54-17,,,,,,,,,,,,,140,32,55,,,,,,,,80,,,13,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6866,OPT,,78593,,ESS000123,,,2,Apollo,6710,TORT,54-17,,,,,,,,,,,,,140,,,,,,,,,,80,,,13,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7666,OPT,,78594,,000000027,,,1,Apollo,9924,C1,53-17,,,,,,,,,,,,,,34,55,,,,,,,,80,,,0,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6349,OPT,,78595,,ESS000117,,,2,Apollo,9838,C3,46-20,,,,,,,,,,,,,135,29,46,,,,,,,,80,,,13.98,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5082,OPT,,78596,,ESB000002,,,2,Apollo,9926,C1,46-17,,,,,,,,,,,,,135,23,46,,,,,,,,80,,,15,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4062,OPT,,78597,,ESS000085,,,3,Apollo,9870,C3,44-20,,,,,,,,,,,,,130,24,44,,,,,,,,80,,,32.89,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5647,OPT,,78598,,ESS000100,,,2,Apollo,6709, C.1,50-17,,,,,,,,,,,,,145,30,48,,,,,,,,80,,,14.08,,,,,,,,,,,,,,,,,,,,10,CO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5083,OPT,,78599,,ESB000003,,,1,Apollo,9926,C3,46-17,,,,,,,,,,,,,135,23,46,,,,,,,,80,,,15,,,,,,,,,,,,,,,,,,,,GST 10%,PRACTICE OWNED,,,,,,,,,29/10/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10248,OPT,,78600,,ESS000150,,,2,2.5 NVG,OPH 101,0505,52-16,,,,,,,,,,,,,140,37,53,,,,,,,,80,,,17,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5084,OPT,,78601,,ESB000004,,,2,Apollo,9926,C2,46-17,,,,,,,,,,,,,135,23,46,,,,,,,,80,,,15,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
